MonthCode,Year,V1,V2,V3,V4
493,1950,1950.875,712.2,0,0
494,1950,1950.9584,717.2,0,0
495,1951,1951.0416,716.2,0,0
496,1951,1951.125,714.2,0,0
497,1951,1951.2084,702.2,0,0
498,1951,1951.2916,695.2,0,0
499,1951,1951.375,701.2,0,0
500,1951,1951.4584,704.2,0,0
501,1951,1951.5416,706.2,0,0
502,1951,1951.625,704.2,0,0
503,1951,1951.7084,706.2,0,0
504,1951,1951.7916,710.2,0,0
505,1951,1951.875,717.2,0,0
506,1951,1951.9584,714.2,0,0
507,1952,1952.0416,724.2,0,0
508,1952,1952.125,712.2,0,0
509,1952,1952.2084,705.2,0,0
510,1952,1952.2916,696.2,0,0
511,1952,1952.375,695.2,0,0
512,1952,1952.4584,701.2,0,0
513,1952,1952.5416,703.2,0,0
514,1952,1952.625,703.2,0,0
515,1952,1952.7084,701.2,0,0
516,1952,1952.7916,695.2,0,0
517,1952,1952.875,701.2,0,0
518,1952,1952.9584,727.2,0,0
519,1953,1953.0416,731.2,0,0
520,1953,1953.125,699.2,0,0
521,1953,1953.2084,705.2,0,0
522,1953,1953.2916,698.2,0,0
523,1953,1953.375,704.2,0,0
524,1953,1953.4584,700.2,0,0
525,1953,1953.5416,702.2,0,0
526,1953,1953.625,704.2,0,0
527,1953,1953.7084,704.2,0,0
528,1953,1953.7916,702.2,0,0
529,1953,1953.875,722.2,0,0
530,1953,1953.9584,709.2,0,0
531,1954,1954.0416,725.2,0,0
532,1954,1954.125,719.2,0,0
533,1954,1954.2084,704.2,0,0
534,1954,1954.2916,699.2,0,0
535,1954,1954.375,700.2,0,0
536,1954,1954.4584,708.2,0,0
537,1954,1954.5416,704.2,0,0
538,1954,1954.625,704.2,0,0
539,1954,1954.7084,703.2,0,0
540,1954,1954.7916,704.2,0,0
541,1954,1954.875,714.2,0,0
542,1954,1954.9584,717.2,0,0
543,1955,1955.0416,705.2,0,0
544,1955,1955.125,691.2,0,0
545,1955,1955.2084,693.2,0,0
546,1955,1955.2916,705.2,0,0
547,1955,1955.375,694.2,0,0
548,1955,1955.4584,700.2,0,0
549,1955,1955.5416,703.2,0,0
550,1955,1955.625,699.2,0,0
551,1955,1955.7084,698.2,0,0
552,1955,1955.7916,702.2,0,0
553,1955,1955.875,707.2,0,0
554,1955,1955.9584,720.2,0,0
555,1956,1956.0416,726.2,0,0
556,1956,1956.125,704.2,0,0
557,1956,1956.2084,703.2,0,0
558,1956,1956.2916,696.2,0,0
559,1956,1956.375,700.2,0,0
