Year,V1,V2,V3,V4
1953,1953.7916,702.2,0,0
1953,1953.875,722.2,0,0
1953,1953.9584,709.2,0,0
1954,1954.0416,725.2,0,0
1954,1954.125,719.2,0,0
1954,1954.2084,704.2,0,0
1954,1954.2916,699.2,0,0
1954,1954.375,700.2,0,0
1954,1954.4584,708.2,0,0
1954,1954.5416,704.2,0,0
1954,1954.625,704.2,0,0
1954,1954.7084,703.2,0,0
1954,1954.7916,704.2,0,0
1954,1954.875,714.2,0,0
1954,1954.9584,717.2,0,0
1955,1955.0416,705.2,0,0
1955,1955.125,691.2,0,0
1955,1955.2084,693.2,0,0
1955,1955.2916,705.2,0,0
1955,1955.375,694.2,0,0
1955,1955.4584,700.2,0,0
1955,1955.5416,703.2,0,0
1955,1955.625,699.2,0,0
1955,1955.7084,698.2,0,0
1955,1955.7916,702.2,0,0
1955,1955.875,707.2,0,0
1955,1955.9584,720.2,0,0
1956,1956.0416,726.2,0,0
1956,1956.125,704.2,0,0
1956,1956.2084,703.2,0,0
1956,1956.2916,696.2,0,0
1956,1956.375,700.2,0,0
1956,1956.4584,705.1,0,0
1956,1956.5416,704.2,0,0
1956,1956.625,699.2,0,0
1956,1956.7084,700.2,0,0
1956,1956.7916,707.2,0,0
1956,1956.875,694.2,0,0
1956,1956.9584,707.2,0,0
1957,1957.0416,703.2,0,0
1957,1957.125,709.2,0,0
1957,1957.2084,707.2,0,0
1957,1957.2916,698.2,0,0
1957,1957.375,709.2,0,0
1957,1957.4584,707.2,0,0
1957,1957.5416,707.2,0,0
1957,1957.625,705.2,0,0
1957,1957.7084,706.2,0,0
1957,1957.7916,707.2,0,0
1957,1957.875,703.2,0,0
1957,1957.9584,723.2,0,0
1958,1958.0416,723.2,0,0
1958,1958.125,734.2,0,0
1958,1958.2084,711.2,0,0
1958,1958.2916,709.2,0,0
1958,1958.375,703.2,0,0
1958,1958.4584,710.2,0,0
1958,1958.5416,707.2,0,0
1958,1958.625,706.2,0,0
1958,1958.7084,705.2,0,0
1958,1958.7916,707.2,0,0
1958,1958.875,709.2,0,0
1958,1958.9584,717.2,0,0
1959,1959.0416,721.2,0,0
1959,1959.125,718.2,0,0
1959,1959.2084,702.2,0,0
1959,1959.2916,697.2,0,0
1959,1959.375,699.2,0,0
1959,1959.4584,704.2,0,0
1959,1959.5416,702.2,0,0
1959,1959.625,702.2,0,0
1959,1959.7084,709.2,0,0
1959,1959.7916,704.2,0,0
1959,1959.875,701.2,0,0
1959,1959.9584,708.2,0,0
1960,1960.0416,712.2,0,0
1960,1960.125,710.2,0,0
1960,1960.2084,703.2,0,0
1960,1960.2916,705.2,0,0
1960,1960.375,704.2,0,0
1960,1960.4584,699.2,0,0
1960,1960.5416,701.2,0,0
1960,1960.625,701.2,0,0
1960,1960.7084,697.2,0,0
1960,1960.7916,703.2,0,0
1960,1960.875,712.2,0,0
1960,1960.9584,711.2,0,0
1961,1961.0416,721.2,0,0
1961,1961.125,722.2,0,0
1961,1961.2084,721.2,0,0
1961,1961.2916,696.2,0,0
1961,1961.375,702.2,0,0
1961,1961.4584,705.2,0,0
1961,1961.5416,703.2,0,0
1961,1961.625,704.2,0,0
1961,1961.7084,701.2,0,0
1961,1961.7916,699.2,0,0
1961,1961.875,700.2,0,0
1961,1961.9584,709.2,0,0
1962,1962.0416,699.2,0,0
1962,1962.125,711.2,0,0
1962,1962.2084,700.2,0,0
1962,1962.2916,695.2,0,0
1962,1962.375,696.2,0,0
1962,1962.4584,698.2,0,0
1962,1962.5416,699.2,0,0
1962,1962.625,704.2,0,0
1962,1962.7084,705.2,0,0
1962,1962.7916,712.2,0,0
1962,1962.875,717.2,0,0
1962,1962.9584,713.2,0,0
1963,1963.0416,696.2,0,0
1963,1963.125,715.2,0,0
1963,1963.2084,704.2,0,0
1963,1963.2916,712.2,0,0
1963,1963.375,705.2,0,0
1963,1963.4584,701.2,0,0
1963,1963.5416,707.2,0,0
1963,1963.625,704.2,0,0
1963,1963.7084,711.2,0,0
1963,1963.7916,718.2,0,0
1963,1963.875,,0,0
1963,1963.9584,715.2,0,0
1964,1964.0416,727.2,0,0
1964,1964.125,691.2,0,0
1964,1964.2084,703.2,0,0
1964,1964.2916,689.2,0,0
1964,1964.375,693.2,0,0
1964,1964.4584,703.2,0,0
1964,1964.5416,705.2,0,0
1964,1964.625,708.2,0,0
1964,1964.7084,703.2,0,0
1964,1964.7916,703.2,0,0
1964,1964.875,711.2,0,0
1964,1964.9584,722.2,0,0
1965,1965.0416,718.2,0,0
1965,1965.125,705.2,0,0
1965,1965.2084,698.2,0,0
1965,1965.2916,705.2,0,0
1965,1965.375,694.2,0,0
1965,1965.4584,702.2,0,0
1965,1965.5416,704.2,0,0
1965,1965.625,708.2,0,0
1965,1965.7084,704.2,0,0
1965,1965.7916,707.2,0,0
1965,1965.875,724.2,0,0
1965,1965.9584,723.2,0,0
1966,1966.0416,724.2,0,0
1966,1966.125,713.2,0,0
1966,1966.2084,710.2,0,0
1966,1966.2916,,0,0
1966,1966.375,,0,0
1966,1966.4584,,0,0
1966,1966.5416,703.2,0,0
1966,1966.625,703.2,0,0
1966,1966.7084,701.2,0,0
1966,1966.7916,701.2,0,0
1966,1966.875,713.2,0,0
1966,1966.9584,726.2,0,0
1967,1967.0416,719.2,0,0
1967,1967.125,706.2,0,0
1967,1967.2084,713.2,0,0
1967,1967.2916,705.2,0,0
1967,1967.375,697.2,0,0
1967,1967.4584,707.2,0,0
1967,1967.5416,705.2,0,0
1967,1967.625,706.2,0,0
1967,1967.7084,705.2,0,0
1967,1967.7916,711.2,0,0
1967,1967.875,706.2,0,0
1967,1967.9584,713.2,0,0
1968,1968.0416,719.2,0,0
1968,1968.125,719.2,0,0
1968,1968.2084,713.2,0,0
1968,1968.2916,693.2,0,0
1968,1968.375,703.2,0,0
1968,1968.4584,702.2,0,0
1968,1968.5416,708.2,0,0
1968,1968.625,712.2,0,0
1968,1968.7084,703.2,0,0
1968,1968.7916,713.2,0,0
1968,1968.875,719.2,0,0
1968,1968.9584,726.2,0,0
1969,1969.0416,726.2,0,0
1969,1969.125,721.2,0,0
1969,1969.2084,702.2,0,0
1969,1969.2916,712.2,0,0
1969,1969.375,706.2,0,0
1969,1969.4584,711.2,0,0
1969,1969.5416,705.2,0,0
1969,1969.625,704.2,0,0
1969,1969.7084,708.2,0,0
1969,1969.7916,708.2,0,0
1969,1969.875,709.2,0,0
1969,1969.9584,722.2,0,0
1970,1970.0416,718.2,0,0
1970,1970.125,708.2,0,0
1970,1970.2084,701.2,0,0
1970,1970.2916,694.2,0,0
1970,1970.375,694.2,0,0
1970,1970.4584,702.2,0,0
1970,1970.5416,702.2,0,0
1970,1970.625,701.2,0,0
1970,1970.7084,699.2,0,0
1970,1970.7916,706.2,0,0
1970,1970.875,713.2,0,0
1970,1970.9584,725.2,0,0
1971,1971.0416,708.2,0,0
1971,1971.125,703.2,0,0
1971,1971.2084,709.2,0,0
1971,1971.2916,705.2,0,0
1971,1971.375,702.2,0,0
1971,1971.4584,706.2,0,0
1971,1971.5416,708.2,0,0
1971,1971.625,707.2,0,0
1971,1971.7084,704.2,0,0
1971,1971.7916,703.2,0,0
1971,1971.875,709.2,0,0
1971,1971.9584,713.2,0,0
